# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.752381          	omega             	6.1484963313e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746379e+04	(9.6727181302e-01 -5.9674995770e-01 0.0000000000e+00)	0
0.761905          	nut               	0.0000000000e+00	(1.2223912156e-01 -3.4381976458e-01 0.0000000000e+00)	0	9.0704342498e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.761905          	U                 	(5.4506340587e-01 -2.0724737186e-01 -7.6131292551e-24)	(1.0500000000e+00 -5.5000000000e-01 0.0000000000e+00)	0	(1.0092521962e+00 1.4363435419e-01 2.9095601663e-22)	(-1.3055078296e-01 -2.0189483289e-01 5.5219993213e-17)	0
0.761905          	k                 	9.1236472889e-07	(9.6651641268e-01 -5.9293802044e-01 -1.3224424666e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.761905          	p                 	-5.7650325385e-01	(8.2474649942e-02 -3.4074451363e-01 0.0000000000e+00)	0	5.3440722175e-01	(1.0367234271e-02 -3.8026860002e-01 1.1418646979e-17)	0
0.761905          	omega             	6.0659415790e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746372e+04	(9.6684733176e-01 -5.9715478071e-01 0.0000000000e+00)	0
0.771429          	nut               	0.0000000000e+00	(1.2251761205e-01 -3.4185827356e-01 0.0000000000e+00)	0	9.1469775081e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.771429          	U                 	(5.2189841591e-01 -2.0789811518e-01 -3.8847907695e-23)	(1.0801745246e+00 -5.6472349041e-01 3.0445831625e-17)	0	(1.0101749212e+00 1.4432299936e-01 2.4488062985e-22)	(-1.2987731911e-01 -1.9923211612e-01 -7.2277253786e-18)	0
0.771429          	k                 	8.8105832611e-07	(9.6610007009e-01 -5.9331937633e-01 -2.6448849331e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.771429          	p                 	-5.5298047387e-01	(8.2761830899e-02 -3.3867264391e-01 0.0000000000e+00)	0	5.6035425839e-01	(1.0544969865e-02 -3.7799639985e-01 -2.2837293958e-17)	0
0.771429          	omega             	5.9861133624e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746365e+04	(9.6641928170e-01 -5.9753703902e-01 0.0000000000e+00)	0
0.780952          	nut               	0.0000000000e+00	(1.2279677815e-01 -3.3988384332e-01 0.0000000000e+00)	0	9.2231889936e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.780952          	U                 	(6.3949843484e-01 -1.4884818232e-01 -5.6777506164e-23)	(1.4702243468e-02 -4.1929843900e-01 0.0000000000e+00)	0	(1.2882886119e+00 3.1768539547e-01 8.2444511677e-23)	(6.7735932532e-02 -2.8513120052e-01 1.5584763742e-17)	0
0.780952          	k                 	8.4695482140e-07	(9.6568021807e-01 -5.9367816247e-01 -3.8544633797e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
